试题类型	知识范畴	题干	试题难度	正确答案	答案					
判断题	专业知识	重要空白凭证应由二级分行到指定或委托厂家印制。（）	中	-1						
判断题	专业知识	《中国农业银行有价单证和重要空白凭证管理办法》仅适用于中国农业银行所管理的有价单证和重要空白凭证。（）	难	-1						
判断题	专业知识	有价单证上应印制号码，按号码顺序发售和使用，不得跳号。（）	中	1						
判断题	专业知识	运营管理部门负责重要空白凭证的研发、测试和维护，并逐步实现系统自动销号。（）	难	-1						
判断题	专业知识	代理重要空白凭证的业务主管部门应明确与合作方进行凭证交接手续，确定交接库房，协调合作方做好有价单证和重要空白凭证验收交接工作。（）	难	1						
判断题	专业知识	有价单证的票样和暗记是鉴别有价单证真伪的重要依据，要比照现金妥善保管。（）	易	-1						
判断题	专业知识	重要空白凭证的配送必须由专车双人运送（不包括司机）或随运钞车单独装箱配送。（）	易	1						
判断题	专业知识	"重要空白凭证调拨业务必须遵循“根据指令，见单调拨”的原则，调入凭证时先记账，后入库；调出凭证时，先出库，后记账。()
"	中	-1						
判断题	专业知识	重要空白凭证库房管理员可以兼任凭证记账岗位。（）	易	-1						
判断题	专业知识	营业终了网点已领用但尚未使用的重要空白凭证，应集中装箱加锁入库保管或入柜员现金箱保管。（）	中	1						
判断题	专业知识	结算印章应与票据和结算凭证共同保管。（）	易	-1						
判断题	专业知识	业务主管部门权属证书管理人员应在库房管理部门进行备案，允许进入重要空白凭证库。（）	难	1						
判断题	专业知识	合作方书面声明无需退回的代理重要空白凭证可以销毁。（）	难	1						
判断题	专业知识	各级运营管理部门进行重要空白凭证检查时，如发现凭证使用情况符合凭证退出标准或连续12个月未使用，应督促业务主管部门处理。	易	-1						
判断题	专业知识	重要空白凭证库管辖行保卫部门至少每半年对所属库房进行一次安全保卫检查。（）	中	-1						
判断题	专业知识	非本级机构人员检查重要空白凭证库应出示介绍信或检查证，并且由库房管理部门人员陪同，库房主管检查相关人员证件后，将相关证件复印件专夹保管或贴于“查库登记簿”上。	中	1						
