试题类型	知识范畴	题干	试题难度	正确答案	答案			
判断题	贷记卡	信用卡非新开卡（到期换卡和损坏换卡等）激活后，凭密消费方式及支付密码必须执行关联交易重新设置。	难	-1				
判断题	贷记卡	唤醒信用卡睡眠户，年费由系统按照规则自动扣收，柜员对客户进行提示。	中	1				
判断题	贷记卡	"个人信用卡约定还款维护业务不允许代理,且仅限主卡持卡人申请。"	易	1				
判断题	贷记卡	商户分期申请是指持卡人本人或有权代理人持商户分期单证，由网点柜台依据商户分期单证，为持卡人办理商户分期交易的业务。	难	1				
判断题	贷记卡	办理商户分期手工退货业务的受理范围是：经二级分行信用卡中心以上（含）批准受理该业务的营业网点，可以不为原办理商户分期申请的网点。	难	-1				
判断题	贷记卡	办理信用卡挂失补卡与损坏换卡业务时，经办人员须与客户确认系统内现有地址是否准确有效。信用卡中心将按系统内登记的卡片邮寄地址寄送新卡。	易	1				
判断题	贷记卡	我行营业柜台不得进行信用卡约定还款失败流水查询。	难	-1				
单选题	贷记卡	信用卡卡片领取指客户收到卡片到达的通知后，到指定的中国农业银行营业网点，申请领取卡片的业务。对该业务受理说法错误的是____。	易	4	客户身份证件为居民身份证的，须进行联网核查	凭客户有效身份证件办理	只限指定领卡网点办理	代理领卡的，凭客户及代理人身份证办理
单选题	贷记卡	信用卡柜台领卡业务，对前期未履行“三亲见”的卡片，柜员须在领卡环节执行____的操作。	中	4	亲见本人	亲见客户签名	亲见客户身份证件等材料	以上都是
单选题	贷记卡	以下____柜台业务交易成功后打印《个人业务凭证》。	易	4	信用卡卡片领取、激活	信用卡唤醒睡眠户	信用卡紧急取现	以上都是
单选题	贷记卡	信用卡柜台激活业务，可按系统提示：客户可选择关联交易:____。	中	4	设置支付密码	设置消费凭密标识	设置查询密码	以上都是
单选题	贷记卡	信用卡睡眠户指____未动账，且账户余额为0的账户。	易	3	半年	一年	两年	三年
单选题	贷记卡	信用卡睡眠户指两年未动账，且账户余额____的账户。	易	3	小于50元	小于20元	为0	小于10元
单选题	贷记卡	信用卡睡眠户禁止____。唤醒睡眠户指将账户的睡眠状态变更为正常状态的业务。	难	2	大部分金融交易和大部分非金融交易	所有金融交易和大部分非金融交易	所有金融交易和所有非金融交易	大部分金融交易和所有非金融交易
单选题	贷记卡	每张信用卡只能办理一笔人民币账户紧急取现，取现金额最高为____，且不得超过可用取现额度。	难	1	2000元人民币（含）	2000元人民币（不含）	1000元人民币（含）	1000元人民币（不含）
单选题	贷记卡	以下____不能办理信用卡紧急取现业务。	中	3	卡片尚在有效期内	个人信用卡	单位信用卡	卡片已做挂失处理（未补卡）
单选题	贷记卡	个人信用卡约定还款维护指客户到中国农业银行营业网点办理____信用卡绑定还款信息的业务。	易	4	申请	变更	撤销	以上都对
单选题	贷记卡	办理商务卡（单位信用卡）还款业务，经办人员提供加盖____的法定代表人身份证复印件。	易	2	印鉴章	公章	法人章	财务章
单选题	贷记卡	信用卡商户分期申请业务的受理范围为____。	难	1	经二级分行信用卡中心以上（含）批准受理该业务的营业网点	经一级分行信用卡中心以上（含）批准受理该业务的营业网点	经总行信用卡中心批准受理该业务的营业网点	全国各级营业网点
单选题	贷记卡	信用卡商户分期申请中普通申请不允许代理，客户可凭____办理。	易	3	有效身份证件	卡片	有效身份证件或卡片	有效身份证件以及卡片
单选题	贷记卡	信用卡商户分期手工退货是指对通过柜台渠道申请的商户分期，进行联机退货的业务。该交易金额上限为人民币____。此限额以上的退货不能用该交易办理。	难	2	10万元	20万元	50万元	100万元
单选题	贷记卡	中国农业银行营业网点办理换发新卡的业务，柜员需回收旧卡。旧卡需剪角作废，____上缴销毁处理。	易	3	3天内	20天内	一个月内	三个月
单选题	贷记卡	信用卡销卡业务与销户业务受理说法正确的是____。	难	3	限主卡持卡人办理	主附卡持卡人均可办理	销卡业务主附卡持卡人均可办理，销户业务限主卡持卡人办理	以上都不对
单选题	贷记卡	办理信用卡销卡业务时，若申请销卡的主卡下有附属卡的，____。	易	4	仅需销主卡即可	主卡与附属卡同时注销	须先注销主卡，再注销附属卡	须先注销附属卡，再注销主卡
单选题	贷记卡	信用卡销户指客户销卡申请满____日后，到中国农业银行营业网点办理余款结清的业务。包括销户取现、销户转账。	易	1	45	60	90	30
单选题	贷记卡	信用卡销户取现____。	难	2	可以一次性取出全部溢缴款，也可分多次取款	须一次性取出全部溢缴款，不可分多次取款	可以一次性转账支出全部溢缴款，也可分多次转出	须一次性转账支出全部溢缴款，不可分多次转出
单选题	贷记卡	以下对信用卡账户余额查询业务说法不正确的是____。	易	1	可凭卡号和支付密码查询	该业务不允许代理	需要凭卡片和支付密码查询	可查询账户余额和可用余额
多选题	贷记卡	信用卡柜台领卡业务，对前期未履行“三亲见”的卡片，柜员须在领卡环节执行____的操作。	中	123	亲见本人	亲见客户签名	亲见客户身份证件等材料	亲自确认
多选题	贷记卡	以下信用卡柜台业务中，____业务不允许代理。	易	1234	卡片领取	卡片激活	唤醒睡眠户	紧急取现
多选题	贷记卡	对于需出示卡片办理的信用卡柜面业务，经办人员需审核以下内容____。	中	1234	卡片为我行发行的信用卡；卡片签名条无“样卡”字样	卡片无打洞、剪角、毁改或涂改痕迹；卡片在有效期内	签名条上有持卡人签名	卡面标明的性别与持卡人性别一致、客户身份证件上的姓名与信用卡卡面客户姓名拼音一致
多选题	贷记卡	以下关于信用卡唤醒睡眠户业务的业务受理说法正确的有____。	中	234	客户可以不出示信用卡	凭客户有效身份证件办理。经办人员应审查客户身份，核对客户姓名、身份证件号码、照片信息	客户须出示信用卡	经办人员须审查以下内容：卡片为我行发行的信用卡；卡片签名条无“样卡”字样；签名条上有持卡人签名；卡片无打洞、剪角、毁改或涂改痕迹；卡片在有效期内；卡面标明的性别与持卡人性别一致、客户身份证件上的姓名与信用卡卡面客户姓名拼音一致。
多选题	贷记卡	以下信用卡柜台业务中，____业务可在全国各级营业网点受理。	中	234	卡片领取	激活卡片	唤醒睡眠户	紧急取现
多选题	贷记卡	办理信用卡紧急取现业务，需符合以下条件____。	中	123	个人信用卡。（单位信用卡不支持紧急取现）	卡片在有效期内	卡片已作挂失处理（未补卡）	卡片已作挂失处理（已补卡）
多选题	贷记卡	办理个人信用卡绑定还款的账户仅限本行____（特殊卡种除外）。还款账户姓名、身份证件类型与号码须与信用卡账户一致。	易	12	人民币借记卡	准贷记卡	活期一本通	商汇通卡
