试题类型	知识范畴	题干	试题难度	正确答案	答案			
判断题	专业知识	"金融机构不得为身份不明的客户开立匿名或者假名账户,不得为其提供服务或者与其进行交易。"	易	1				
判断题	专业知识	客户无正当理由拒绝更新客户基本信息的及经查询仍无法获取汇款人完整信息的交易，作为可疑行为通过反洗钱信息管理系统进行报告。	易	1				
判断题	专业知识	开立一般存款账户、专用存款账户、临时存款账户要在人民银行账户管理系统进行登记，同时向基本存款账户开户行发出开立结算账户通知书。	易	1				
判断题	专业知识	可以发展注册地及经营场所不在收单行所在地的商户为特约商户。	中	-1				
判断题	专业知识	机构投资人在办理任何基金业务须到开立基金账户网点办理	易	1				
判断题	专业知识	开立个人储蓄账户的客户及代理人身份证件的复印件、联网查询交易凭证应专夹保管，定期装订。	难	-1				
判断题	专业知识	个人外汇结算账户是指个人对外贸易者、个体工商户按照规定开立的用以办理经常项目下经营性外汇收支的账户。	中	1				
判断题	专业知识	申领金穗贷记卡个人卡调查岗人员应对客户提供的申请材料的完整性、规范性和一致性进行检查，不符合规定的，应要求客户进行补正。	易	-1				
判断题	专业知识	对年金及赔付款的支付要认真确定收款人身份，以免错误支付。	易	1				
判断题	专业知识	同一客户同时办理多笔无卡、无折存款业务的，为确保该交易可以跟踪稽核，每笔业务均要留存身份证件复印件。	中	-1				
单选题	专业知识	客户异地开立人民币基本存款账户的，应审核其注册地人民银行出具的（）。	易	2	异地开户许可证明	未开立基本存款账户证明	未开立临时存款账户证明	未开立账户证明
单选题	专业知识	客户开立经常项目外汇账户的，应登录（）查询客户是否已进行客户基本信息登记。	中	1	外汇账户信息交互平台	人民银行征信系统	现金管理系统	人民银行账户管理系统
单选题	专业知识	开立现汇资本金账户的客户提供的有关证明文件中企业名称、法定代表人、组织机构代码、营业执照号码、经营范围等要素信息不一致的，不予受理，并通知其到（）办理基本信息登记或变更手续 	难	3	外汇账户信息交互平台	开户地工商管理局	开户地外汇管理局	开户地税务局
单选题	专业知识	开立现汇资本金账户时在（）模块登记外管核准件号码、核定币种、限额等信息。	易	2	客户资料登记模块	外管核准件模块	外汇账户开户登记模块	账户开户申请模块
单选题	专业知识	开立现汇资本金账户在（）填写开户日期、账号、限额等要素后签名盖章，并将银行回执联及时报送外汇管理局备案。 	难	4	开户申请书	外商投资企业外汇登记证	营业执照 	资本项目外汇业务核准件
单选题	专业知识	驻华机构开立经常项目下外汇账户，应当审查客户提交的()和农业银行要求的其他相关材料。	难	2	外经委批文	外交部的批准文件	外汇管理局批文	中华人民共和国外商投资企业批准证书
单选题	专业知识	下列资料（）不属于开立外汇临时专户应当审查的资料。	中	1	外交部的批准文件	国家外汇管理局签发的资本项目外汇业务核准件	签订的投资意向书	投资人身份证明
单选题	专业知识	下列资料（）不属于开立外汇外债专户应当审查的资料。	难	3	国家外汇管理局签发的资本项目外汇业务核准件	外债登记证	证券监督管理部门批准的招股说明书	外债（转）贷款登记证
