试题类型	知识范畴	题干	试题难度	正确答案	答案				
单选题	专业知识	公司客户大额存单投资人认购大额存单起点金额以产品约定为准，但不得低于____万元。	易	3	100万	500万	1000万	2000万	
单选题	专业知识	公司客户大额存单的投资人包括机关团体、中国人民银行认可的其他单位(不含机构类客户)和____。	易	2	有限公司	非金融企业	金融企业	个体工商户	
单选题	专业知识	以下哪项属于公司客户大额存单采用的标准期限____。	易	3	7天	10天	1个月	2个月	
单选题	专业知识	以下哪项属于公司客户大额存单采用的标准期限____。	易	3	4个月	8个月	6个月	7个月	
单选题	专业知识	开展辖内公司客户大额存单业务市场调研和信息收集，并向总行产品管理与营销部门反馈属于以下哪个部门主要负责的工作内容____。	易	2	总行产品管理和营销部门	一级分行产品管理和营销部门	二级分行产品管理和营销部门	一级支行产品管理和营销部门	
单选题	专业知识	公司客户人民币大额存单定期付息方式需设定付息周期，存单期限应为付息周期的____。	易	1	整数倍	偶数倍	奇数倍	相同时间	
单选题	专业知识	以下哪项属于公司客户大额存单采用的标准期限____。	易	3	16个月	17个月	18个月	19个月	
单选题	专业知识	以下哪项属于公司客户大额存单采用的标准期限____。	易	4	21个月	22个月	23个月	24个月	
单选题	专业知识	公司客户大额存单是指由中国农业银行通过____向非金融机构投资人发行的记账式大额存款凭证，是银行存款类金融产品，属一般性存款。	易	3	柜面渠道	非自有渠道	自有渠道	电子渠道	
单选题	专业知识	以下哪项属于公司客户大额存单采用的标准期限____。	易	1	5年	6年	7年	8年	
单选题	专业知识	大额存单提前支取时如留存余额小于____时将全额销户。	易	3	存款基数	产品剩余额度	最低起点金额	最高起点金额	
单选题	专业知识	投资人在大额存单预约期内与我行约定购买金额及相关付款账户信息的操作被称为____。	易	3	开户	存款基数	额度预约	赎回和转让	
单选题	专业知识	机构客户人民币大额存单定制型产品是由____发起的针对特定客户或分行区域内特定范围定制发行的产品，适用于特定客户。	易	2	总行	分行	总、分行共同	客户	
单选题	专业知识	总行产品管理与营销部门发行机构客户人民币大额存单常规型产品时，应当于发行前____工作日在中国农业银行官方网站公告拟发行产品的信息。	易	3	至少三个	至少两个	至少一个	至少五个	
单选题	专业知识	机构客户人民币大额存单适用于中国农业银行在____的人民币大额存单。	中	4	境外	境内、外	中国境内或境外	"中国境内
"	
单选题	专业知识	机构客户人民币大额存单的固定利率存单采用____形式计息。	中	3	"特定利率
"	分期特定利率	票面年化收益率	上海银行间同业拆借利率	
单选题	专业知识	机构类客户大额存单的起存金额以产品协议书为准，但最低不低于____元人民币。	中	2	500万	1000万	100万	2000万	
单选题	专业知识	机构类客户大额存单提前支取和销户时，存单留存金额必须____起点金额。	中	3	大于	等于	大于等于	小于	
