试题类型	知识范畴	题干	试题难度	正确答案	答案																																																																																																																																																																																																																																																							
判断题	专业知识	出票人可在电子商业汇票上记载自身的评级信息，并对记载信息的真实性负责，该记载事项具有票据上的效力。（    ）	易	-1																																																																																																																																																																																																																																																								
判断题	专业知识	出票人在电子商业汇票交付收款人前，可办理票据的未用退回。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	背书人未记载被背书人名称即将票据交付他人的，持票人在票据被背书人栏内记载自己的名称与背书人记载具有同等法律效力。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	票据真伪审验必须坚持“双人审验”制度。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	以汇票设定质押时，出质人在汇票上只记载了“质押”字样未在票据上签章的，或者出质人未在汇票、粘单上记载“质押”字样而另行签订质押合同、质押条款的，不构成票据质押。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	电子商业汇票持票人在票据到期日前被拒付的，不得拒付追索。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	电子商业汇票登记贴现申请信息后，若客户要求贴现资金采取线上清算方式的，贴现业务必须于提出贴现申请日完成，否则，日终系统将该笔业务作废（查询票据状态回滚至贴现申请前状态），需次日重新提交贴现申请信息。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	出票人、背书人、承兑人、保证人在票据上的签章不符合票据法及支付结算办法规定的，其签章无效，但是不影响票据上其他签章的效力。（    ）	中	-1																																																																																																																																																																																																																																																								
判断题	专业知识	通过委托收款银行或者通过票据交换系统向付款人提示付款的，持票人向银行提交票据日为提示付款日。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	持票人只能在首先向付款人行使付款请求权而得不到付款时，才可以行使追索权。（    ）	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	空白银行承兑汇票的领用，必须在办理票据业务的经营机构确认承兑且已审批完成，并通过用信审核后，方可进行领用手续。（    ）	难	1																																																																																																																																																																																																																																																								
判断题	专业知识	承兑行接到法院冻结止付等影响票据权利的事件发生时，应在收到法院通知两个工作日内依托大额支付系统或其他适当方式通知查询行。票据查询行如已将票据转出，应通过适当方式通知交易对手。（    ）	难	1																																																																																																																																																																																																																																																								
判断题	专业知识	持票人不能出示拒绝证明、退票理由书或者未按照规定期限提供其他合法证明的，丧失对包括出票人在内的其前手的追索权。（    ）	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	商业汇票的票据权利自出票日起二年不行使而消灭（    ）	易	-1																																																																																																																																																																																																																																																								
判断题	专业知识	电子商业汇票以人民币为计价单位。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	对拒绝受理的银行本票，柜员可手工填制或打印一式两份拒绝受理通知书，一份经运营主管审核后连同本票退交持票人，一份专夹保管。	中	-1																																																																																																																																																																																																																																																								
