试题类型	知识范畴	题干	试题难度	正确答案	答案			
判断题	专业知识	“银保通”系统信息管理平台实行个人身份安全认证制度，首次登陆系统的用户不需对初始密码进行修改。（）	易	-1				
判断题	专业知识	“银保通”业务的收费管理实行有偿服务的原则。（）	易	1				
单选题	专业知识	银保通业务基本流程（）。	中	1	业务受理与审批->开发推广与运行->业务维护管理	开发、推广上线与运行->业务受理与审批->业务维护管理	业务维护与管理->业务受理与审批->开发、推广上线与运行	以上说法都不对
单选题	专业知识	首次与保险公司开展“银保通”业务由（）与保险公司签订协议。	难	3	总行机构业务部	授权相关一级分行	总行机构业务部或授权相关一级分行	以上说法都不对
单选题	专业知识	"“银保通”业务手续费按（）分配原则 ,由“银保通”业务处理系统（）将手续费清算至各代理行指定损益账户"	中	3	谁做业务谁收益；手动	总行指定；手动	谁做业务谁收益；自动	以上说法都不对
单选题	专业知识	“银保通”系统是指农业银行在金融服务平台上开发的用于处理保险代理业务及相关衍生业务的专用业务平台，由（）部分组成。	易	3	业务处理	信息管理	业务处理、信息管理	以上说法都不正确
单选题	专业知识	以下哪些不属于保险代理行职责。（）	难	3	新保承保	单笔代收	手续费清算	信息查询和修改
单选题	专业知识	以下哪些属于零售银行业务部职责（）	中	2	负责“银保通”业务会计核算办法	负责“银保通”业务个人客户的综合营销	负责“银保通”业务的管理及推广指导工作	负责“银保通”系统推广的技术指导
多选题	专业知识	“银保通”业务是一项综合性较强的业务，其组织管理模式为：（）	易	1234	统一规划	集中管理	内外联动	协调运行
多选题	专业知识	开办“银保通”业务应遵循（ ）有关规定。	易	1234	《中华人民共和国商业银行法》	《中华人民共和国保险法》	《商业银行中间业务管理暂行办法》	中国保险监督管理委员会和中国农业银行有关规定
多选题	专业知识	以下“银保通”业务哪些属于财务会计部门的职责。（）	中	123	负责参与制定、修改“银保通”业务的管理办法和操作规程	负责制定“银保通”业务的会计核算办法并负责该办法的修订	负责“银保通”业务会计核算的管理、辅导及检查等	制定、修改“银保通”业务 管理办法和操作规程
多选题	专业知识	“银保通”业务中代理行职责包括下列哪些。（）	中	1234	新报承保	犹豫期撤单	单笔代收	以上说法都正确
多选题	专业知识	为加强风险控制与防范，“银保通”业务系统应采取以下哪些安全措施。（）	难	1234	密码管理	数据传输加密	数据备份	财务核对
判断题	专业知识	私募基金按出资方式分为非承诺出资制产品和承诺出资制产品两大类。（）	易	1	 	 	 	 
判断题	专业知识	私募基金购买撤销和承诺出资缴款撤销交易只在系统中进行登记，经我行提交第三方机构确认后才能返还撤销资金，如是当天交易，可在当天进行该笔交易的抹帐交易，资金在抹帐后将于次日到账。（）	中	-1	 	 	 	 
单选题	专业知识	私募基金购买/承诺出资登记、承诺出资缴款交易后的撤销及私募基金购买交易的抹帐均按照( )   原则进行撤单。	易	1	后买先撤	先买后撤	同时撤买	均可
单选题	专业知识	 募集账户指第三方机构在我行开立的用于接收客户理财资金的（）  	易	3	借记卡	存折	对公结算账户	信用卡
多选题	专业知识	私募基金产品指（）	难	123	信托计划	有限合伙制基金	公司制基金统	券商资产管理
判断题	专业知识	假日丰是我行为满足个人客户假日闲置资金的短期理财需求，将活期存款与通知存款各自优点整合，向客户提供逢节假日（即银行不对外办理对公业务的日期）将其符合约转条件的活期存款自动转为相应天数的通知存款。（）	易	-1				
单选题	专业知识	业务主管部门暂定对公双利丰留存金额最低为等值()万元人民币，暂定假日丰与多利丰留存金额最低为0。	中	2	客户指定金额	5万	50万	100万
单选题	专业知识	系统自动开立的双利丰/假日丰账户以单位活期结算账号+子账户序号的形式展现，全部为（）状态	中	3	存款证实书	单位结算卡	无凭证（存款证实书）	 存单
单选题	专业知识	目前假日丰币种仅允许为（），采用“Act/360”方式计息。	易	4	所有币种	人民币、美元	人民币、美元、欧元、港币、英镑	人民币
单选题	专业知识	双利丰/假日丰发生便捷支取在系统已确定需要对某一个双利丰/假日丰通知存款子账户进行部提时，部提金额必须大于或等于（）万元且部提后该子账户余额不得小于（）万元，如部提后子账户余额小于规定，则自动对该子账户销户。	难	2	1万；5万	10万；50万	50万；100万	任意金额
单选题	专业知识	 多利丰发生便捷支取在系统已确定需要对某一个多利丰子账户进行部提时，部提金额必须大于或等于（）万元且部提后该子账户余额不得小于（）万元，如部提后子账户余额小于规定，则自动对该子账户销户。	难	3	10万；50万	50万；100万	500万；1000万	任意金额
多选题	专业知识	对公 ( ) 产品均属于对公新型存款，相关交易在BOEING系统对公新型存款模块下，与对公活期、对公非活期等模块并列。	中	123	双利丰	假日丰	多利丰	汇利丰
判断题	专业知识	全国银期转账业务是指我行作为 投资者银行结算账户和期货公司客户保证金账户的交易行，通过与期货公司的系统对接实现资金在投资者账户与期货公司保证金账户间实时划转的一种金融服务。（）	中	-1				
判断题	专业知识	全国银期转账业务的客户对象为个人投资者和机构投资者。（）	易	1				
单选题	专业知识	全国银期转账业务系统业务信息采取（）方式。	中	4	 逐级单向实时传输	 由下至上实时传输	C 逐级多向实时传输	D 逐级双向实时传输
